Title,Studio,Release Date,Genre,RuntimeBudget,Gross,IMDb Rating
Superman Returns,WB,28-06-06,action,154,232,461.3,6.1
The Devil Wears Prada,Fox,30-06-06,comedy,109,35,385.3,6.8
Pirates of the Caribbean: Dead Man's Chest,Buena Vista Studios,07-07-06,action,151,225,"1,257.70",7.3
The Departed,WB,06-10-06,thriller,151,90,341.8,8.5
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Fox,03-11-06,comedy,84,18,308.6,7.3
Happy Feet,WB,17-11-06,animation,108,85,453.3,6.5
Casino Royale,Sony,17-11-06,action,144,102,706.6,8
The Holiday,Sony,08-12-06,comedy,138,85,241.9,6.9
Eragon,Fox,15-12-06,action,104,100,294.3,5.1
The Pursuit of Happyness,Sony,15-12-06,biography,117,55,362.3,7.9
Ghost Rider,Sony,16-02-07,action,114,120,262.4,5.2
Wild Hogs,Buena Vista Studios,02-03-07,action,100,60,290.9,5.9
300,WB,09-03-07,action,117,60,523.2,7.8
Spider-Man 3,Sony,04-05-07,action,139,258,"1,022",6.2
Shrek the Third,Pacific Data/DreamWorks,18-05-07,animation,93,160,916.6,6
Pirates of the Caribbean: At World's End,Buena Vista Studios,25-05-07,action,169,300,"1,105.20",7.1
Knocked Up,Universal,01-06-07,comedy,129,27.5,251.3,7.1
Ocean's Thirteen,WB,08-06-07,thriller,122,85,357.1,6.9
Fantastic Four: Rise of the Silver Surfer,Fox,15-06-07,action,92,120,331.5,5.6
Live Free or Die Hard,Fox,27-06-07,action,128,110,439.9,7.2
Ratatouille,Buena Vista Studios,29-06-07,animation,111,150,715.5,8
Transformers,Pacific Data/DreamWorks,03-07-07,action,144,151,814.1,7.1
Harry Potter and the Order of the Phoenix,WB,11-07-07,adventure,138,150,"1,078.20",7.4
Hairspray (2007),New Line Cinema,20-07-07,musical,117,75,232.3,6.8
The Simpsons Movie,Fox,27-07-07,animation,87,72.5,604.7,7.4
The Bourne Ultimatum,Universal,03-08-07,action,115,130,508,8.1
Rush Hour 3,New Line Cinema,10-08-07,action,91,180,296,6.2
Mr. Bean's Holiday,Universal,24-08-07,comedy,90,25,263.5,6.3
American Gangster,Universal,02-11-07,drama,157,100,305.7,7.8
Bee Movie,Pacific Data/DreamWorks,02-11-07,animation,91,150,329.9,6.2
Enchanted,Buena Vista Studios,21-11-07,comedy,107,85,390.6,7.2
The Golden Compass,New Line Cinema,01-12-07,adventure,113,205,427,6.1
Juno,Fox Searchlight Pictures,05-12-07,comedy,96,7,265.5,6.3
Alvin and the Chipmunks,Fox,14-12-07,animation,92,55,414.5,5.3
I Am Legend,WB,14-12-07,drama,101,150,671.4,7.2
National Treasure: Book of Secrets,Buena Vista Studios,21-12-07,action,124,130,524.7,6.5
Jumper,Fox,14-02-08,action,88,82.5,245.4,6.1
Bienvenue chez les Ch'tis,Path_ Distribution,20-02-08,drama,106,15.3,270.7,7.1
"10,000 B.C.",WB,07-03-08,action,109,105,298,5
Dr. Seuss' Horton Hears a Who!,Fox,14-03-08,animation,86,85,328.2,6.9
Iron Man,Paramount Pictures,02-05-08,action,126,186,646.4,7.9
What Happens in Vegas,Fox,09-05-08,comedy,99,35,242.3,7.3
The Chronicles of Narnia: Prince Caspian,Buena Vista Studios,16-05-08,action,150,225,463.6,6.6
Indiana Jones and the Kingdom of the Crystal Skull,Paramount Pictures,22-05-08,action,122,185,868.8,6.2
Sex and the City,WB/New Line,30-05-08,comedy,145,57.5,458.7,6.9
Kung Fu Panda,Pacific Data/DreamWorks,05-06-08,animation,92,130,697.7,7.6
Get Smart,WB,20-06-08,action,110,80,254.8,6.5
Wanted,Universal,27-06-08,action,110,75,377.1,6.7
WALL-E,Buena Vista Studios,27-06-08,animation,98,180,575.8,8.4
Hancock,Sony,02-07-08,action,92,150,689.7,6.5
Journey to the Center of the Earth,WB/New Line,11-07-08,action,93,45,267.3,5.8
Mamma Mia!,Universal,18-07-08,comedy,108,52,673.5,6.4
The Dark Knight,WB,18-07-08,action,152,185,"1,109.60",9
The Mummy: Tomb of the Dragon Emperor,Universal,01-08-08,action,112,175,443,5.2
High School Musical 3: Senior Year,Buena Vista Studios,24-10-08,comedy,112,11,279.3,4.3
Madagascar: Escape 2 Africa,Pacific Data/DreamWorks,07-11-08,animation,89,150,667,6.7
Slumdog Millionaire,Fox Searchlight Pictures,12-11-08,drama,120,14,417.4,8
Quantum of Solace,Sony,14-11-08,action,106,230,647.4,6.7
Bolt,Buena Vista Studios,21-11-08,animation,96,150,342.4,6.9
Twilight,Summit Entertainment,21-11-08,drama,122,37,433.6,5.2
Australia,Fox,26-11-08,adventure,165,78,233.4,7.6
The Day the Earth Stood Still (2008),Fox,12-12-08,drama,104,80,257.5,5.5
Gran Torino,WB,12-12-08,drama,116,33,298.2,8.2
Yes Man,WB,19-12-08,comedy,104,50,246.5,6.9
Valkyrie,UA Entertainment,25-12-08,biography,121,75,221.2,7.1
